period_start,asset_class,return_value,source
2021-01-01,cash,0.00110,demo_fixture
2021-01-01,bonds,-0.00050,demo_fixture
2021-01-01,us_equity,-0.01500,demo_fixture
2021-01-01,international_equity,-0.02300,demo_fixture
2021-02-01,cash,0.00120,demo_fixture
2021-02-01,bonds,0.00140,demo_fixture
2021-02-01,us_equity,0.01020,demo_fixture
2021-02-01,international_equity,0.01250,demo_fixture
2021-03-01,cash,0.00125,demo_fixture
2021-03-01,bonds,0.00200,demo_fixture
2021-03-01,us_equity,0.02200,demo_fixture
2021-03-01,international_equity,0.01850,demo_fixture
2021-04-01,cash,0.00115,demo_fixture
2021-04-01,bonds,0.00320,demo_fixture
2021-04-01,us_equity,0.01800,demo_fixture
2021-04-01,international_equity,0.01500,demo_fixture
2021-05-01,cash,0.00118,demo_fixture
2021-05-01,bonds,0.00100,demo_fixture
2021-05-01,us_equity,0.00600,demo_fixture
2021-05-01,international_equity,0.00450,demo_fixture
2021-06-01,cash,0.00122,demo_fixture
2021-06-01,bonds,-0.00120,demo_fixture
2021-06-01,us_equity,-0.00800,demo_fixture
2021-06-01,international_equity,-0.01000,demo_fixture
2021-07-01,cash,0.00120,demo_fixture
2021-07-01,bonds,0.00400,demo_fixture
2021-07-01,us_equity,0.02800,demo_fixture
2021-07-01,international_equity,0.02400,demo_fixture
2021-08-01,cash,0.00121,demo_fixture
2021-08-01,bonds,0.00250,demo_fixture
2021-08-01,us_equity,0.01100,demo_fixture
2021-08-01,international_equity,0.00900,demo_fixture
2021-09-01,cash,0.00116,demo_fixture
2021-09-01,bonds,-0.00200,demo_fixture
2021-09-01,us_equity,-0.02100,demo_fixture
2021-09-01,international_equity,-0.02600,demo_fixture
2021-10-01,cash,0.00119,demo_fixture
2021-10-01,bonds,0.00300,demo_fixture
2021-10-01,us_equity,0.03100,demo_fixture
2021-10-01,international_equity,0.02900,demo_fixture
2021-11-01,cash,0.00121,demo_fixture
2021-11-01,bonds,0.00180,demo_fixture
2021-11-01,us_equity,0.01400,demo_fixture
2021-11-01,international_equity,0.01300,demo_fixture
2021-12-01,cash,0.00123,demo_fixture
2021-12-01,bonds,0.00090,demo_fixture
2021-12-01,us_equity,0.00750,demo_fixture
2021-12-01,international_equity,0.00600,demo_fixture
2022-01-01,cash,0.00124,demo_fixture
2022-01-01,bonds,-0.00180,demo_fixture
2022-01-01,us_equity,-0.01800,demo_fixture
2022-01-01,international_equity,-0.02100,demo_fixture
2022-02-01,cash,0.00125,demo_fixture
2022-02-01,bonds,-0.00080,demo_fixture
2022-02-01,us_equity,-0.00900,demo_fixture
2022-02-01,international_equity,-0.01200,demo_fixture
2022-03-01,cash,0.00126,demo_fixture
2022-03-01,bonds,0.00160,demo_fixture
2022-03-01,us_equity,0.01600,demo_fixture
2022-03-01,international_equity,0.01450,demo_fixture
2022-04-01,cash,0.00127,demo_fixture
2022-04-01,bonds,-0.00300,demo_fixture
2022-04-01,us_equity,-0.02700,demo_fixture
2022-04-01,international_equity,-0.03000,demo_fixture
2022-05-01,cash,0.00128,demo_fixture
2022-05-01,bonds,0.00040,demo_fixture
2022-05-01,us_equity,0.00400,demo_fixture
2022-05-01,international_equity,0.00200,demo_fixture
2022-06-01,cash,0.00129,demo_fixture
2022-06-01,bonds,-0.00220,demo_fixture
2022-06-01,us_equity,-0.02300,demo_fixture
2022-06-01,international_equity,-0.02650,demo_fixture
2022-07-01,cash,0.00130,demo_fixture
2022-07-01,bonds,0.00420,demo_fixture
2022-07-01,us_equity,0.03400,demo_fixture
2022-07-01,international_equity,0.03100,demo_fixture
2022-08-01,cash,0.00131,demo_fixture
2022-08-01,bonds,0.00120,demo_fixture
2022-08-01,us_equity,0.00900,demo_fixture
2022-08-01,international_equity,0.00750,demo_fixture
2022-09-01,cash,0.00132,demo_fixture
2022-09-01,bonds,-0.00260,demo_fixture
2022-09-01,us_equity,-0.02600,demo_fixture
2022-09-01,international_equity,-0.03100,demo_fixture
2022-10-01,cash,0.00133,demo_fixture
2022-10-01,bonds,0.00240,demo_fixture
2022-10-01,us_equity,0.02400,demo_fixture
2022-10-01,international_equity,0.02100,demo_fixture
2022-11-01,cash,0.00134,demo_fixture
2022-11-01,bonds,0.00360,demo_fixture
2022-11-01,us_equity,0.02900,demo_fixture
2022-11-01,international_equity,0.02700,demo_fixture
2022-12-01,cash,0.00135,demo_fixture
2022-12-01,bonds,0.00100,demo_fixture
2022-12-01,us_equity,0.00850,demo_fixture
2022-12-01,international_equity,0.00650,demo_fixture
